variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
λ=0.2,16,42,42,0.47059850677569115,2.136616098842217,0.3409514365853068,2.551264913546543,3,"b57,b25,b47",4.707631826400757,success,
λ=0.2,17,42,42,0.4932935576344629,2.090316883707442,0.32365135665725464,2.584533460986272,3,"b42,b25,b46",4.735579967498779,success,
λ=0.2,18,42,42,0.5158793995100606,2.0431991396666973,0.359273313653942,2.5155517378039924,11,"b62,b71,b96,b98,b100,b20,b16,b26,b25,b24,b34",4.7682249546051025,success,
λ=0.2,19,42,42,0.5280913119788602,2.017264760272476,0.37712337317906475,2.4802637435247497,3,"b91,b24,b33",4.693334102630615,success,
λ=0.3,0,42,42,0.4450231013274246,2.187617395963991,0.3264619509745329,2.5791578034828877,4,"b53,b55,b84,b38",4.684329986572266,success,
λ=0.3,1,42,42,0.43426694825877765,2.2087150554379447,0.3092167964057103,2.6119672793753974,4,"b48,b72,b109,b28",4.699533224105835,success,
λ=0.3,2,42,42,0.4348553741267025,2.2075661008252117,0.3101879046728633,2.6101306719627617,3,"b64,b106,b38",4.454466104507446,success,
λ=0.3,3,42,42,0.4925981303710656,2.091750815469413,0.33099965961477884,2.5704550692635393,3,"b79,b22,b23",4.792733907699585,success,
λ=0.3,4,42,42,0.43866289700349514,2.200117066368919,0.33090470482284684,2.5706374820003983,3,"b80,b67,b24",4.700448989868164,success,
λ=0.3,5,42,42,0.44770010771104474,2.1823348833448724,0.3294805985190864,2.5733717077451974,4,"b46,b82,b51,b45",4.486606121063232,success,
λ=0.3,6,42,42,0.5210737939545781,2.0322082784359807,0.34203242986616544,2.5491717202595536,3,"b43,b24,b31",4.740646839141846,success,
λ=0.3,7,42,42,0.4946990669597785,2.0874157956256414,0.34583638217808743,2.5417921896138798,3,"b53,b23,b37",4.426882743835449,success,
λ=0.3,8,42,42,0.4460632738684911,2.1855663495398336,0.3256169134471516,2.5807752339722416,4,"b53,b71,b83,b30",4.907049894332886,success,
λ=0.3,9,42,42,0.4798515122983227,2.117861646097249,0.3496708572121062,2.5343316988575864,3,"b53,b24,b55",4.71163535118103,success,
λ=0.3,10,42,42,0.5461488939331254,1.9782930009323731,0.30625109318523613,2.6175681852130177,3,"b20,b23,b42",4.334391832351685,success,
λ=0.3,11,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",4.571549892425537,success,
λ=0.3,12,42,42,0.49664637361394126,2.083389717113313,0.20323358284772486,2.8051904902710105,4,"b57,b71,b84,b25",4.558772087097168,success,
λ=0.3,13,42,42,0.4383933631579513,2.2006452114375743,0.33277244478013335,2.567047083379964,3,"b64,b25,b54",4.878203868865967,success,
λ=0.3,14,42,42,0.49803636862416045,2.0805111212721212,0.33022861765026845,2.571935904083932,11,"b49,b69,b21,b19,b96,b100,b20,b23,b52,b40,b46",4.819933176040649,success,
λ=0.3,15,42,42,0.4198611764495891,2.236659533303779,0.308721829272657,2.612902888726276,3,"b63,b124,b55",4.8076701164245605,success,
λ=0.3,16,42,42,0.47059850677569115,2.136616098842217,0.3409514365853068,2.551264913546543,3,"b57,b25,b47",4.717975854873657,success,
λ=0.3,17,42,42,0.4932935576344629,2.090316883707442,0.32365135665725464,2.584533460986272,3,"b42,b25,b46",4.7284557819366455,success,
λ=0.3,18,42,42,0.5158793995100606,2.0431991396666973,0.359273313653942,2.5155517378039924,11,"b62,b71,b96,b98,b100,b20,b16,b26,b25,b24,b34",4.842749118804932,success,
λ=0.3,19,42,42,0.5667291773115234,1.9329189208501918,0.23599956099831987,2.746905074376244,3,"b21,b23,b39",4.611948013305664,success,
