b58,b144,b93,b161,b80,b60,b119,b99,b153,b91,b131,b147,TS
1464.430218,2862.755602,2207.941581,2329.956786,1943.87532,1507.691261,2653.81178,2302.119238,2309.262964,2150.268246,2941.101152,2646.181178,2.25
2661.041071,3069.710714,3095.785877,2174.693344,3032.888149,2711.132468,3178.349675,3123.598377,2280.180032,3099.330195,3369.320617,2731.816396,6.45
1730.68806,3075.047535,2461.002881,2486.308579,2195.691581,1785.654449,2860.504161,2575.960147,2609.481114,2411.483515,3093.067542,2860.558259,2.125
2991.462068,3220.934379,3349.639405,2496.59443,3354.913892,3017.524648,3386.284731,3308.940301,2449.471991,3319.212708,3475.649328,2931.56274,7.575
1694.326136,2998.010065,2416.184091,2460.013312,2169.614773,1722.002435,2826.841721,2539.776299,2277.098377,2343.514123,3126.124513,2727.306169,3.0
1461.018406,3026.90749,2212.290493,2630.899968,1945.669174,1490.752721,2665.684379,2292.427977,2425.391325,2130.855154,3067.113796,2825.949744,4.825
1396.290078,2993.073904,2268.508467,2557.254945,1921.826871,1449.845229,2697.960595,2360.51179,2409.344675,2180.045102,3001.379332,2775.846178,4.35
1538.752492,2998.757557,2312.786517,2445.198133,2065.27805,1602.391676,2715.688084,2371.395157,2284.625099,2241.146542,3155.713088,2707.808831,2.15
2082.885108,3144.558949,2778.01899,2519.689983,2576.246716,2153.155879,3056.233265,2840.067574,2523.263649,2725.697737,3295.461782,2826.809147,8.125
1281.707586,2786.065941,2032.919334,2350.620038,1790.893566,1317.508643,2463.899168,2120.570262,2249.910371,1976.458547,2795.288412,2580.653169,1.475
2443.201825,2866.451184,2855.707426,2049.4992,2809.408451,2508.74936,2975.095711,2911.462708,2019.988956,2843.986076,3156.690141,2539.204225,8.375
1464.71719,3043.764565,2234.692382,2614.820102,1936.682458,1475.028649,2678.400288,2298.760243,2399.898848,2174.067222,3120.098111,2768.662132,1.325
