b101,b136,b116,b99,b160,b88,b98,b133,b90,b33,b144,b128,b26,b61,b156,b31,b24,b92,b59,b97,b44,b161,b123,b129,b57,b87,b27,b152,b49,b58,b124,b105,b86,b157,b148,b84,b29,TS
2157.84363,2706.172215,2367.533771,2158.440461,2111.78281,1942.616037,2158.040173,2725.916133,1977.78265,861.824904,2704.616997,2619.298496,658.8444302,1405.916293,2218.293534,841.7267926,607.7327145,2014.574264,1357.536492,2134.302337,986.1538092,2051.739277,2559.618918,2640.479033,1304.552977,1931.565941,726.5945903,2136.442862,1049.973431,1331.904289,2569.542894,2215.677657,1922.159731,2208.441101,2362.127881,1878.081626,830.8599552,4.475
2183.223928,2817.83605,2405.799177,2161.206678,2389.688875,1978.936541,2147.805507,2769.380756,1998.963127,949.3082766,2791.403228,2656.78984,749.5717677,1446.323627,2366.238329,947.7050166,690.984966,2041.831302,1414.623675,2131.032125,1080.001741,2378.809305,2583.661655,2701.053015,1376.1304,1967.96376,821.1943345,2245.592024,1122.836525,1398.732394,2611.264124,2223.176135,1956.478082,2347.877987,2494.204146,1941.903466,933.7776547,3.9
2438.89128,3103.053331,2651.456243,2433.318405,2523.047318,2197.160468,2430.98101,3109.929894,2242.692356,1013.583795,3087.41937,2989.769109,768.956797,1637.026586,2621.090995,994.1378383,718.6630796,2300.1812,1578.05982,2425.739041,1184.103339,2556.476025,2914.126919,3022.742048,1507.601677,2206.488527,850.8142111,2502.067416,1258.55705,1548.262542,2942.611014,2486.637759,2216.832568,2526.133565,2738.00633,2150.514955,982.1775597,2.175
2380.030543,2729.896186,2444.680013,2369.160943,1887.313024,2259.050166,2362.160468,2772.012818,2285.281057,1306.591233,2613.613072,2659.87134,1103.694572,1896.564013,1988.02532,1326.224719,1033.929103,2317.748536,1858.252572,2346.513056,1456.628264,1831.392784,2578.491533,2675.826555,1816.041146,2279.219497,1192.617186,1987.786833,1541.637759,1839.873239,2583.330749,2405.101282,2299.235322,1959.566229,2194.133091,2296.567811,1325.184365,4.95
2686.308099,3203.172215,2812.004962,2643.488956,2751.18678,2445.377081,2622.46767,3183.771607,2492.158451,1342.527849,3137.59523,3062.319462,1097.893886,1945.086268,2766.933739,1336.435019,1016.756402,2552.245198,1919.886204,2603.243598,1519.241997,2719.550896,2973.631562,3076.53137,1878.40493,2446.412932,1190.689341,2748.288572,1589.238476,1905.732554,2990.739597,2728.830346,2446.994718,2750.740877,2860.710627,2445.804738,1333.153009,9.0
2923.467576,2925.777849,2888.105457,2935.98122,2155.125201,2813.358587,2939.901284,3026.031461,2836.151685,1780.333387,2901.597592,3020.967576,1452.385393,2571.613323,2284.796308,1790.010273,1393.508507,2882.446388,2524.055538,2935.925843,2002.001605,2151.164045,3007.685714,3054.069502,2474.37512,2841.142055,1553.845425,2172.855377,2125.227769,2500.354414,3016.144462,2922.948957,2867.226485,2193.729695,2428.922151,2835.007384,1716.983788,5.775
2087.297565,2641.861688,2282.11039,2076.139123,2061.610714,1889.76737,2068.012825,2694.173377,1935.804708,838.2061688,2671.434578,2622.69724,644.3042208,1318.43961,2062.310877,823.8060065,588.4886364,1989.660552,1290.60276,2054.857143,976.1589286,2013.571104,2489.568344,2664.046266,1249.832468,1885.145779,714.3305195,2006.527435,1012.368182,1276.120617,2516.936039,2135.671266,1877.223214,2071.90763,2231.064286,1825.496266,816.6842532,1.9
2462.197823,3060.588988,2693.627721,2436.319302,2732.888764,2269.413572,2430.443662,3134.93598,2259.826504,1020.93662,3168.24936,3005.878841,794.9428617,1644.791293,2688.487836,981.7559219,727.3004161,2313.703425,1574.550576,2418.944142,1148.451344,2636.339309,2926.415973,3048.982554,1518.559059,2236.568502,866.6614917,2699.216869,1238.59315,1537.84219,2954.706306,2518.570583,2201.394846,2707.039373,2827.337068,2126.226472,971.6294814,1.675
2728.40717,3470.007362,2920.59283,2677.602913,2905.548015,2406.970711,2665.379481,3418.927497,2480.995839,1039.393246,3386.838828,3262.685019,795.4467029,1698.314661,2938.035051,1031.521607,739.3273047,2557.303457,1663.356274,2666.953585,1235.982074,2954.93774,3151.140685,3305.213028,1606.180858,2411.146287,879.2768886,2821.197023,1309.940141,1644.409891,3177.795935,2780.845711,2415.695423,2829.53185,3037.923816,2378.360755,1014.15749,4.125
2374.583067,2842.27977,2543.921575,2358.297695,2339.451985,2264.792093,2373.076985,2916.205986,2283.683899,1173.447343,2841.822023,2802.659411,918.3237836,1731.045615,2224.973271,1159.84235,844.0704225,2300.791613,1694.431018,2354.383483,1318.650608,2275.927497,2697.480314,2870.239917,1647.145487,2265.727753,1006.941261,2007.412292,1395.31258,1673.613476,2714.580986,2452.410051,2276.055378,2202.455026,2419.369078,2240.158451,1135.584187,4.225
