b14,b16,b20,b21,b30,b31,b32,b34,b52,b58,b60,b62,b65,b75,b81,b85,b86,b91,b95,b107,b108,b111,b116,b120,b127,b128,b130,b132,b137,b144,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
579.1523688,610.0659411,694.7288732,703.078265,1009.315941,1011.375,1036.960948,1079.977913,1279.279129,1549.099872,1593.068022,1632.169654,1700.864597,1955.897407,2024.452785,2116.613636,2126.314181,2237.665973,2305.309699,2432.954545,2418.221991,2419.18694,2612.236876,2721.238316,2860.912772,2885.492798,3028.065461,3024.4387,2877.771447,2964.06386,2906.284251,2834.431978,2386.674936,2447.960147,2433.482554,2401.71991,2443.533611,2450.674456,2385.793374,3.325
499.3438835,534.7276468,598.7439468,610.8716569,896.1596772,906.7406235,913.7043836,932.7314448,1172.20921,1418.174395,1473.691565,1519.984175,1594.172654,1775.523026,1883.509891,2021.447856,2040.801709,2133.595664,2242.354961,2364.319671,2351.7047,2354.006488,2485.44833,2676.625574,2846.843963,2865.462731,2913.081342,2944.069473,2882.413198,3011.646147,3018.592024,2950.391676,2552.899509,2617.463681,2614.22551,2598.212692,2548.553885,2493.297041,2327.454344,1.65
1355.831777,1396.886691,1459.641082,1486.064251,1955.911537,1952.37316,1967.137522,1998.993195,2329.692198,2633.120905,2665.632379,2713.077702,2791.50087,2954.147333,3093.306852,3060.974047,3036.348789,3118.469695,3162.209369,3194.246241,3166.029752,3125.855357,3188.370945,3291.212375,3390.118373,3393.187688,3434.306061,3458.511157,3355.605792,3319.581421,3310.316981,3218.991454,2794.278683,2882.24909,2848.012344,2772.285963,2771.62589,2749.321412,2637.175977,8.275
488.8085787,533.8737196,595.3161012,608.3754802,874.4580666,884.3095391,902.7223111,935.4958387,1149.238796,1418.173976,1450.246639,1494.806178,1569.709827,1829.229994,1940.264405,2068.918054,2101.110115,2216.310179,2305.143406,2484.586748,2480.458387,2490.616997,2703.685179,2825.116677,2975.915813,3011.987996,3113.545615,3168.759763,3152.637164,3267.208227,3237.829385,3194.004962,3031.84299,3074.361716,3073.830826,3060.238956,3027.960627,2993.239757,2825.555378,1.65
704.3689181,758.6597311,839.8487516,846.0208067,1218.090909,1234.372439,1249.229834,1286.611876,1558.860275,1838.497279,1893.795935,1956.896767,2041.985115,2272.166453,2368.931338,2479.382202,2498.586268,2578.684699,2659.011524,2803.107234,2779.779289,2780.721031,2992.247279,3108.959187,3194.548175,3213.086908,3400.584827,3394.421575,3260.50112,3295.684219,3259.889725,3179.911492,2744.923816,2900.826504,2828.101152,2698.240557,2815.34299,2819.956306,2690.238636,6.825
487.6106979,532.4635227,589.6515271,598.3236272,906.5152714,912.9818009,919.4203197,940.8119956,1158.441051,1416.561798,1445.611647,1489.456401,1559.279949,1739.707074,1884.249881,2023.110777,2034.556734,2095.844279,2212.7047,2356.079443,2348.592499,2352.423168,2514.61592,2660.668777,2818.706124,2833.680646,2940.046526,2976.484887,2954.169647,2967.379016,2945.370787,2870.006172,2407.307327,2515.863428,2477.060294,2404.476658,2491.67843,2483.979427,2270.124387,2.175
566.8706786,612.9809539,697.7752881,712.9006082,1033.084987,1033.117478,1046.889245,1080.677497,1254.93822,1491.184379,1522.196863,1574.142606,1645.710147,1829.202785,1921.273207,2001.698784,2022.369398,2074.49888,2148.270967,2177.31386,2152.085467,2156.746799,2327.899968,2452.979834,2591.786812,2616.489917,2689.810339,2669.78137,2543.353393,2629.648207,2568.997119,2464.600672,1921.560339,1984.90653,1976.101633,1957.15493,1979.252081,1944.815621,1846.057298,5.2
527.193385,577.5780978,645.6304795,669.2962494,960.74094,962.0705808,975.040671,999.8680171,1242.766419,1451.523659,1493.208894,1535.415256,1591.15493,1829.978478,1954.489634,2037.357493,2053.247033,2108.078968,2207.367305,2361.648995,2347.985282,2346.514164,2539.802342,2644.392784,2780.011078,2807.049691,2943.340402,2935.962178,2849.431556,2937.205412,2930.38946,2862.215699,2339.014559,2568.355436,2489.782877,2334.263491,2492.348473,2490.405444,2291.948568,3.275
483.7092532,525.6113636,591.5219156,604.0175325,903.6449675,913.7738636,917.825974,938.9967532,1162.689123,1423.273701,1462.438312,1525.230844,1592.486364,1820.636688,1940.226461,2057.117857,2073.574838,2190.679383,2243.563799,2358.609253,2347.069156,2361.643019,2500.414123,2665.717045,2851.926786,2883.291234,2974.857305,2977.493506,2894.239448,2928.416721,2916.404383,2819.192532,2231.159091,2503.607305,2478.27711,2423.913312,2422.908929,2383.519318,2257.257792,1.675
801.6600512,852.0934699,967.1056338,998.759443,1417.262964,1433.057298,1445.888284,1469.90781,1862.09491,2162.571383,2197.398688,2265.9992,2359.490557,2532.238796,2645.471031,2683.602913,2686.447663,2754.991357,2805.525288,2847.036972,2800.164373,2776.165333,2903.441421,3035.129001,3103.091709,3091.56386,3279.067382,3219.909571,2998.578425,3032.734955,2994.204545,2866.271287,2315.828585,2449.24856,2388.097471,2344.121639,2494.231274,2421.319942,2273.244878,11.2
442.2664853,501.040653,556.0222471,572.600032,857.9362996,857.3418694,863.8847631,879.4385403,1098.371959,1360.786012,1390.370519,1430.318182,1503.388124,1694.197503,1840.977753,1912.538732,1913.959027,2020.477433,2113.042093,2240.641485,2225.658291,2222.8113,2389.482875,2512.041773,2639.298335,2665.65733,2707.766325,2720.240077,2682.754161,2758.815781,2746.892766,2656.976152,2288.080186,2258.457106,2256.060019,2245.331466,2266.822343,2227.123399,2015.008163,2.125
423.6983766,469.0074675,530.8021104,540.3186688,819.3081169,823.8060065,830.2318182,851.1530844,1052.444318,1276.120617,1305.186039,1349.58961,1428.516721,1630.769156,1743.358766,1853.000487,1877.223214,1965.588799,2031.514286,2153.75763,2144.973377,2138.176623,2282.11039,2399.108442,2582.50487,2622.69724,2670.289773,2673.984578,2579.501786,2671.434578,2646.200812,2544.832143,2006.527435,2044.153734,2062.310877,2078.528896,2061.610714,2013.571104,1823.953409,1.9
412.7080666,467.6731754,502.6296415,516.7677657,775.7277529,777.1085147,788.0817862,809.4452625,1013.081786,1251.101472,1284.609955,1330.449744,1400.598111,1611.552017,1763.260243,1863.417894,1879.012644,1979.940301,2062.434859,2210.464149,2196.34507,2209.965909,2388.065141,2514.24872,2678.623399,2704.944462,2775.879321,2793.432138,2727.664533,2821.304097,2807.464789,2706.72007,2252.646767,2316.0,2300.236396,2266.783451,2359.996159,2355.03249,2246.21895,1.7
