b28,b33,b36,b47,b54,b56,b57,b58,b59,b60,b63,b64,b67,b69,b71,b72,b78,b90,b91,b92,b103,b105,b106,b108,b109,b112,b113,b127,b131,b142,b143,b144,b148,b152,b154,b157,b161,b162,b163,TS
820.3433099,920.634443,960.9894366,1074.140365,1235.652849,1347.96991,1383.100672,1418.173976,1434.919334,1450.246639,1528.136684,1550.071223,1618.28121,1673.81274,1730.12516,1761.231434,1882.332266,2194.853233,2216.310179,2240.828265,2457.84267,2475.109475,2480.40685,2480.458387,2469.071703,2536.109475,2580.615717,2975.915813,3163.354033,3284.028809,3293.901569,3267.208227,3073.715109,3031.84299,3041.131562,3068.007843,2993.239757,2906.700224,2825.555378,1.65
1096.633643,1163.617638,1211.68854,1339.090269,1459.506722,1543.990877,1567.795935,1589.396447,1606.372439,1623.501921,1705.070102,1709.850512,1747.840429,1790.424136,1834.53137,1855.178457,1960.385403,2054.128681,2072.337548,2097.71975,2162.557458,2162.103873,2154.784251,2113.425896,2079.224072,2113.34283,2143.331466,2467.349072,2560.091549,2528.058579,2498.544334,2469.836428,2003.855154,1830.118118,1838.926697,1803.052017,1667.895807,1541.572183,1447.350352,10.2
1154.755762,1264.829065,1332.379481,1477.368438,1662.119718,1780.2492,1809.850352,1838.497279,1866.145967,1893.795935,1991.110435,2016.507202,2081.071063,2118.011844,2152.319782,2197.37596,2333.059699,2561.324584,2578.684699,2604.505442,2798.367638,2821.263924,2819.422535,2779.779289,2755.102593,2832.041293,2880.072503,3194.548175,3450.987196,3330.169334,3323.706146,3295.684219,2995.192702,2744.923816,2804.995679,2758.891485,2819.956306,2753.095871,2690.238636,6.825
1433.842222,1503.813262,1541.224719,1751.707074,1959.504985,2057.996044,2094.188796,2128.839215,2145.395157,2161.5417,2247.06979,2265.805349,2316.748694,2354.040513,2383.181041,2393.834942,2487.31065,2580.021681,2587.311758,2608.571768,2693.94113,2705.653584,2703.160468,2659.744263,2620.915809,2650.547397,2684.487735,2904.216173,3020.322045,2886.727963,2890.28897,2858.7047,2470.073429,2226.413673,2237.377433,2218.585061,2228.087039,2133.6069,2043.30796,8.55
1341.483355,1410.296575,1444.021447,1630.304898,1832.014565,1959.919974,1984.946543,2010.46767,2035.042254,2059.790013,2115.238156,2125.482234,2173.174296,2222.439821,2276.238636,2271.675096,2331.190141,2447.526729,2438.366197,2474.808739,2565.423656,2534.482875,2523.899008,2488.129321,2449.648848,2458.90685,2483.511684,2703.814981,2849.559539,2630.476953,2604.193822,2564.057458,2045.738956,1660.572823,1745.576024,1672.598431,1697.477433,1564.365077,1435.895166,8.225
807.4560848,870.8455452,902.0928944,1024.526349,1154.056022,1247.745688,1273.181358,1297.360342,1319.465263,1342.48552,1391.788099,1416.084032,1476.252572,1511.143061,1582.178984,1585.471435,1671.24181,1922.333914,1937.880677,1959.114417,2124.193385,2124.596772,2121.70739,2110.128976,2096.550878,2158.64583,2194.590125,2522.85868,2671.225194,2642.305428,2641.238171,2631.990347,2295.021206,2132.929103,2129.023421,2087.592182,2056.05618,1994.798069,1942.321412,2.3
831.1343567,910.4162051,951.0541225,1122.681437,1279.135623,1389.877354,1421.950942,1453.110777,1483.720525,1513.052856,1573.403228,1601.484412,1692.954423,1739.66213,1760.008546,1778.942238,1937.901408,2188.083399,2210.718785,2245.675898,2467.939231,2497.145593,2498.149074,2467.241019,2461.84871,2528.803292,2566.436303,2933.434246,3050.395949,3062.038297,3060.76626,3070.843804,2754.081658,2672.348315,2652.052065,2678.952524,2632.573192,2580.322994,2534.09606,2.175
891.1454344,986.8746637,1010.090046,1152.561323,1276.881943,1360.271087,1385.205887,1411.719576,1443.900617,1476.729704,1541.335338,1564.758981,1623.820383,1666.135464,1731.989081,1730.805349,1841.739199,2046.171704,2054.736509,2093.465263,2250.163475,2229.6721,2221.804241,2212.500079,2201.001899,2252.300839,2279.932584,2681.189429,2855.005855,2799.094952,2799.786042,2790.491375,2377.54344,2092.337237,2125.226935,2158.410824,2211.002532,2142.607058,2076.62953,4.625
1285.699037,1362.513162,1402.973515,1585.255217,1751.288283,1847.62809,1884.958748,1922.126645,1956.984751,1992.398395,2037.208186,2077.360514,2156.732745,2179.791332,2204.182183,2238.239807,2355.17496,2501.717175,2515.578812,2535.749278,2698.673034,2687.254093,2667.586356,2618.251364,2594.095666,2646.083628,2676.742857,2969.164205,3079.873515,3038.391974,3029.428892,3021.153933,2692.252809,2528.175923,2497.547673,2554.536597,2385.767897,2255.975762,2157.303852,6.45
1954.742997,2007.408134,2049.807248,2279.212375,2409.584428,2504.728913,2545.172496,2588.687134,2641.267131,2695.649312,2707.702643,2734.837,2766.365881,2782.403228,2833.29435,2858.352904,2939.997784,3007.470802,2991.097167,2987.845545,2975.613388,2906.215382,2896.54344,2866.997468,2825.202089,2831.671467,2851.140845,3076.467479,3230.420003,3092.013451,3038.39579,2982.503402,2535.761038,2233.330907,2268.93116,2199.865643,2109.173762,1999.407185,1905.084349,6.05
