b52,b58,b59,b64,b66,b69,b71,b72,b77,b78,b80,b91,b92,b95,b96,b99,b104,b109,b136,b143,b144,b152,b158,b161,b162,TS
1645.354193,1905.732554,1919.886204,2031.867798,2053.567702,2151.141805,2200.628521,2217.433419,2263.248239,2289.18662,2355.370999,2518.454065,2552.245198,2587.416933,2583.038092,2643.488956,2716.12612,2681.09379,3203.172215,3126.997439,3137.59523,2748.288572,2729.083387,2719.550896,2620.52993,9.0
2191.420385,2500.354414,2524.055538,2647.578812,2676.588122,2710.236918,2744.671268,2752.854575,2802.814928,2849.494061,2840.652488,2853.400482,2882.446388,2931.980899,2930.121188,2935.98122,2941.979615,2821.572552,2925.777849,2891.736437,2901.597592,2172.855377,2110.866613,2151.164045,2093.999839,5.775
1052.444318,1276.120617,1290.60276,1408.921104,1447.303896,1503.564935,1555.761039,1586.312987,1663.990097,1689.955195,1724.740422,1965.588799,1989.660552,2031.514286,2041.849513,2076.139123,2129.009416,2125.108442,2641.861688,2676.562013,2671.434578,2006.527435,2078.528896,2013.571104,1911.604545,1.9
1283.608195,1537.84219,1574.550576,1684.50016,1729.615717,1807.43726,1868.68758,1878.743598,1976.097631,1987.7508,2011.528489,2256.704225,2313.703425,2401.010563,2406.772087,2436.319302,2518.678617,2483.949424,3060.588988,3179.160851,3168.24936,2699.216869,2723.932939,2636.339309,2498.517446,1.675
1346.201024,1644.409891,1663.356274,1805.738636,1850.423656,1963.885563,2001.0,2021.150608,2136.964309,2178.739277,2230.402849,2521.865557,2557.303457,2651.714629,2667.753681,2677.602913,2765.752561,2786.12644,3470.007362,3400.472471,3386.838828,2821.197023,2724.488316,2954.93774,2861.72007,4.125
1438.964949,1673.613476,1694.431018,1794.954545,1842.345871,1892.138764,1941.838508,1971.403489,2066.200704,2084.099072,2137.108035,2291.016485,2300.791613,2314.731754,2334.850832,2358.297695,2435.666293,2395.444782,2842.27977,2852.390525,2841.822023,2007.412292,2209.833227,2275.927497,2192.40509,4.225
1149.238796,1418.173976,1434.919334,1550.071223,1590.871799,1673.81274,1730.12516,1761.231434,1864.628201,1882.332266,1920.141005,2216.310179,2240.828265,2305.143406,2321.133003,2373.955346,2468.384923,2469.071703,3196.886524,3293.901569,3267.208227,3031.84299,3060.238956,2993.239757,2906.700224,1.65
1384.135403,1589.396447,1606.372439,1709.850512,1727.775928,1790.424136,1834.53137,1855.178457,1920.534891,1960.385403,1955.15621,2072.337548,2097.71975,2108.548175,2111.836268,2148.419334,2161.305058,2079.224072,2499.25048,2498.544334,2469.836428,1830.118118,1794.925576,1667.895807,1541.572183,10.2
1558.860275,1838.497279,1866.145967,2016.507202,2062.885083,2118.011844,2152.319782,2197.37596,2311.478393,2333.059699,2356.663732,2578.684699,2604.505442,2659.011524,2675.24984,2748.597311,2812.284251,2755.102593,3318.333867,3323.706146,3295.684219,2744.923816,2698.240557,2819.956306,2753.095871,6.825
1859.073746,2128.839215,2145.395157,2265.805349,2297.075487,2354.040513,2383.181041,2393.834942,2470.307485,2487.31065,2541.645197,2587.311758,2608.571768,2646.112834,2648.701219,2685.495806,2700.913752,2620.915809,2899.636018,2890.28897,2858.7047,2226.413673,2181.210635,2228.087039,2133.6069,8.55
1712.272887,2010.46767,2035.042254,2125.482234,2150.705826,2222.439821,2276.238636,2271.675096,2331.059859,2331.190141,2355.828905,2438.366197,2474.808739,2508.984795,2502.869558,2523.488956,2549.758163,2449.648848,2587.303457,2604.193822,2564.057458,1660.572823,1601.050416,1697.477433,1564.365077,8.225
1066.299731,1297.360342,1319.465263,1416.084032,1464.586169,1511.143061,1582.178984,1585.471435,1659.159044,1671.24181,1710.660706,1937.880677,1959.114417,1983.858205,1988.174236,2072.419845,2127.305903,2096.550878,2647.906473,2641.238171,2631.990347,2132.929103,2055.813578,2056.05618,1994.798069,2.3
