b20,b21,b31,b34,b35,b36,b48,b54,b55,b59,b70,b71,b73,b78,b99,b104,b126,TS
552.6765365,561.1478873,841.7267926,875.199904,890.8767606,904.0233675,1037.559859,1169.698784,1237.981114,1357.536492,1576.602433,1599.15685,1651.667734,1739.403809,2158.440461,2212.339949,2565.132843,4.475
615.9547397,629.6358601,947.7050166,960.5921823,976.9759456,993.7339769,1109.872923,1253.771958,1316.473493,1414.623675,1633.496281,1656.762937,1687.802184,1801.480772,2161.206678,2215.111885,2622.350688,3.9
630.2225036,644.5967716,994.1378383,1027.267289,1043.015192,1058.502453,1240.973572,1368.051116,1421.650419,1578.05982,1839.709289,1860.550245,1887.444532,2014.024371,2433.318405,2488.727805,2947.335021,2.175
927.6137047,938.0925779,1326.224719,1322.054914,1346.923406,1369.943504,1519.500396,1693.966609,1756.036082,1858.252572,2059.294034,2069.96376,2116.430606,2177.814686,2369.160943,2405.170597,2639.462257,4.95
920.2887324,938.7980154,1336.435019,1354.532971,1367.480154,1380.980474,1566.392286,1736.102753,1806.90589,1919.886204,2175.904449,2200.628521,2234.462388,2289.18662,2643.488956,2716.12612,3066.552177,9.0
1253.89053,1291.890048,1790.010273,1789.02183,1805.515409,1821.508989,2098.429374,2318.626324,2398.301124,2524.055538,2727.564526,2744.671268,2759.173194,2849.494061,2935.98122,2941.979615,3013.867737,5.775
530.8021104,540.3186688,823.8060065,851.1530844,867.9741883,885.2118506,1002.860552,1135.982468,1188.92289,1290.60276,1530.90974,1555.761039,1616.359253,1689.955195,2076.139123,2129.009416,2545.839773,1.9
661.7887324,680.0078425,981.7559219,1033.898047,1044.918534,1057.799456,1224.78265,1398.443822,1473.908771,1574.550576,1840.761044,1868.68758,1888.441421,1987.7508,2436.319302,2518.678617,2973.515365,1.675
662.3753201,673.5200064,1031.521607,1056.417254,1078.378041,1101.385243,1289.329065,1439.834667,1515.640845,1663.356274,1982.084507,2001.0,2041.175256,2178.739277,2677.602913,2765.752561,3240.064661,4.125
785.8442702,804.5083227,1159.84235,1190.060179,1207.609955,1219.014885,1368.528169,1528.077945,1586.523528,1694.431018,1914.555378,1941.838508,1997.403329,2084.099072,2358.297695,2435.666293,2755.223431,4.225
595.3161012,608.3754802,884.3095391,935.4958387,947.8111396,960.9894366,1083.355474,1235.652849,1299.995359,1434.919334,1701.861556,1730.12516,1792.134283,1882.332266,2373.955346,2468.384923,2940.003841,1.65
823.3758003,844.9639885,1170.897247,1178.918534,1197.068182,1211.68854,1338.972791,1459.506722,1515.887004,1606.372439,1813.495999,1834.53137,1873.807778,1960.385403,2148.419334,2161.305058,2455.783771,10.2
839.8487516,846.0208067,1234.372439,1286.611876,1310.462548,1332.379481,1497.772247,1662.119718,1736.391005,1866.145967,2133.606274,2152.319782,2240.358995,2333.059699,2748.597311,2812.284251,3185.53281,6.825
1005.28264,1022.867068,1492.338819,1514.692198,1528.551511,1541.224719,1767.126919,1959.504985,2015.815952,2145.395157,2368.871973,2383.181041,2405.507201,2487.31065,2685.495806,2700.913752,2898.779079,8.55
942.771927,969.3778809,1363.886044,1423.917894,1433.972791,1444.021447,1656.778649,1832.014565,1918.256402,2035.042254,2252.330026,2276.238636,2264.197503,2331.190141,2523.488956,2549.758163,2716.462548,8.225
