b14,b15,b16,b17,b20,b21,b22,b23,b32,b36,b45,b46,b48,b49,b50,b51,b52,b53,b55,b56,b57,b58,b62,b63,b64,b68,b69,b75,b76,b80,b84,b85,b88,b89,b90,b91,b95,b96,b102,b103,b105,b107,b108,b110,b111,b112,b116,b120,b123,b124,b126,b127,b131,b132,b135,b137,b139,b142,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
1044.432778,1064.662932,1086.975992,1118.548496,1205.841709,1232.986716,1260.739437,1289.683419,1686.06162,1754.395006,1880.507042,1889.591389,1940.739117,1969.831946,1998.288412,2007.070743,2007.850672,2032.628681,2166.25112,2212.865077,2253.575064,2292.600672,2379.206466,2390.139885,2419.879001,2486.919814,2506.717029,2604.823944,2620.461268,2697.297535,2691.120519,2699.15509,2749.363476,2750.350192,2749.704866,2750.423335,2813.653169,2814.546575,2837.871159,2850.600992,2847.274328,2815.670455,2777.304898,2707.833067,2732.551376,2760.221671,2870.223592,2926.208387,2998.828745,3019.175896,3000.201985,2999.679738,3172.683099,3091.783611,3014.276889,2862.496959,2846.056818,2966.518886,2871.881082,2775.474392,2220.769366,2310.579065,2265.535691,2194.993118,2306.383643,2301.855954,2162.40765,11.8
435.8902049,462.1117157,487.2167093,509.1523688,552.6765365,561.1478873,576.28121,592.328105,851.6387644,904.0233675,991.3412292,1000.683579,1037.559859,1049.973431,1058.494558,1067.513124,1075.117798,1101.056178,1237.981114,1276.353073,1304.552977,1331.904289,1424.680698,1443.225672,1470.608195,1538.336108,1555.770967,1680.172855,1696.216869,1774.909571,1878.081626,1902.381562,1942.616037,1959.583707,1977.78265,1994.864117,2087.378841,2111.322663,2184.040173,2207.729994,2215.677657,2186.65781,2168.196223,2135.457907,2175.828585,2217.809859,2367.533771,2483.277849,2559.618918,2569.542894,2565.132843,2592.536812,2683.608995,2706.493918,2763.018566,2645.572983,2644.623079,2682.435659,2719.887484,2603.56146,2136.442862,2228.302497,2218.293534,2200.373079,2111.78281,2051.739277,1900.401408,4.475
505.8086039,525.9413961,545.1237013,560.624026,606.1142857,621.1730519,635.2993506,649.5875,953.1345779,996.649026,1126.331818,1147.496266,1185.213636,1204.061688,1222.954221,1228.418669,1233.633604,1262.683766,1395.213149,1439.377922,1477.153734,1513.172565,1607.374351,1635.478896,1654.75,1736.406656,1772.005032,1910.335877,1939.745455,2034.776786,2130.295942,2164.469318,2222.671916,2235.613636,2248.627435,2261.245617,2390.289935,2401.434091,2497.710065,2519.665747,2558.326136,2511.309091,2482.701786,2441.698864,2491.859091,2541.989935,2698.640097,2819.893994,2903.320779,2927.012013,2955.450812,2964.257468,3119.377435,3114.119481,3117.113799,2991.803409,2965.498701,3080.425,3036.17013,2921.799188,2357.564286,2681.340422,2642.079708,2570.839448,2646.769805,2590.338961,2383.587175,4.65
563.5680218,584.3810819,603.1882202,620.0830666,662.3753201,673.5200064,697.9129321,721.6272407,1035.776729,1101.385243,1247.980634,1261.244878,1289.329065,1309.940141,1334.660051,1344.670935,1346.201024,1361.957426,1515.640845,1568.648528,1606.180858,1644.409891,1739.987516,1783.272727,1805.738636,1934.414533,1963.885563,2076.224872,2095.022887,2230.402849,2378.360755,2399.275288,2406.970711,2440.215749,2480.995839,2521.865557,2651.714629,2667.753681,2738.284411,2750.132362,2780.845711,2795.872759,2792.816261,2782.403649,2813.419974,2851.963348,2920.59283,3085.839949,3151.140685,3177.795935,3240.064661,3250.507362,3464.883163,3439.732074,3520.036172,3395.671415,3366.541613,3406.113796,3370.689981,3284.109955,2821.197023,3048.004161,2938.035051,2724.488316,2905.548015,2954.93774,2768.862836,4.125
853.0788099,897.1956006,933.9322678,952.4644722,1005.28264,1022.867068,1062.378857,1104.38772,1497.886374,1541.224719,1709.716094,1735.332648,1767.126919,1786.501029,1807.263175,1830.845229,1859.073746,1899.288337,2015.815952,2057.996044,2094.188796,2128.839215,2211.19022,2247.06979,2265.805349,2336.248615,2354.040513,2437.071372,2452.546764,2541.645197,2583.906473,2565.790157,2569.736984,2575.240228,2580.021681,2587.311758,2646.112834,2648.701219,2687.830353,2693.94113,2705.653584,2690.756449,2659.744263,2590.231207,2613.889698,2650.547397,2748.126602,2820.068998,2864.5254,2880.197183,2898.779079,2904.216173,3020.322045,2968.921823,2967.949517,2805.38677,2762.73366,2886.727963,2820.285013,2729.838266,2226.413673,2302.037031,2260.504352,2181.210635,2242.776547,2228.087039,2043.30796,8.55
513.2910271,543.1737617,567.328533,578.5739832,615.9547397,629.6358601,650.2174395,671.7113467,948.3168223,993.7339769,1086.105871,1092.9511,1109.872923,1122.836525,1138.506409,1150.816268,1162.898402,1188.143377,1316.473493,1354.492166,1376.1304,1398.732394,1474.911537,1504.962019,1523.018199,1586.037981,1607.400063,1730.674474,1752.075803,1844.217439,1941.903466,1949.394524,1978.936541,1988.618611,1998.963127,2010.697579,2105.945245,2112.972464,2192.93116,2204.685235,2223.176135,2232.0978,2222.456718,2194.119639,2227.34515,2271.964077,2405.799177,2505.565912,2583.661655,2611.264124,2622.350688,2635.919133,2832.862003,2798.266814,2859.538851,2747.596297,2693.535211,2790.136097,2768.589967,2703.372844,2245.592024,2383.436303,2366.238329,2334.479348,2389.688875,2378.809305,2205.579839,3.9
521.584347,529.6040333,536.7162292,546.1680538,596.0769846,618.9897567,635.9611076,651.2568822,927.4596671,929.7064661,1037.653009,1054.931338,1080.722151,1099.822023,1120.336748,1124.596191,1124.615717,1144.908451,1250.128041,1290.394046,1327.251601,1362.081626,1433.823143,1447.288892,1462.391485,1553.660851,1575.926857,1670.297695,1696.887644,1768.93662,1855.68662,1875.643086,1929.082266,1928.131722,1927.212228,1927.709987,2047.753521,2060.53137,2128.384443,2150.471351,2152.572983,2125.895327,2110.196383,2085.455826,2122.984155,2159.632042,2312.756242,2423.927177,2507.414052,2528.960307,2539.90573,2559.042093,2725.492478,2688.118918,2678.823303,2596.025448,2590.03185,2724.09235,2635.059859,2519.611396,2014.871959,2046.298656,2042.28041,2038.210467,2130.335147,2082.014085,1880.612356,1.45
657.7983355,683.4015685,705.1935019,722.7197503,785.8442702,804.5083227,815.796895,827.3357875,1165.886844,1219.014885,1333.903329,1345.722311,1368.528169,1395.31258,1421.966389,1431.71831,1438.964949,1470.888604,1586.523528,1617.683579,1647.145487,1673.613476,1744.246959,1763.699904,1794.954545,1870.404609,1892.138764,2039.815941,2054.348912,2137.108035,2240.158451,2275.422375,2264.792093,2273.972631,2283.683899,2291.016485,2314.731754,2334.850832,2404.252401,2422.622439,2452.410051,2444.478073,2422.628521,2383.733195,2414.809859,2449.886204,2543.921575,2626.363316,2697.480314,2714.580986,2755.223431,2780.385563,2952.756402,2928.990237,2906.013604,2766.646287,2794.845551,2861.420935,2787.40717,2625.602753,2007.412292,2245.018726,2224.973271,2209.833227,2339.451985,2275.927497,2135.494718,4.225
579.1523688,595.1733355,610.0659411,638.1967029,694.7288732,703.078265,715.9265365,728.5579385,1036.960948,1097.903969,1185.341229,1180.221671,1244.482234,1263.801857,1266.510723,1271.339789,1279.279129,1301.840429,1432.640365,1479.681658,1515.212388,1549.099872,1632.169654,1649.989597,1674.689181,1771.566261,1796.120839,1955.897407,1981.4371,2002.666453,2109.041133,2116.613636,2224.154449,2235.474072,2234.197983,2237.665973,2305.309699,2317.211268,2389.856914,2415.275768,2441.599552,2432.954545,2418.221991,2395.21943,2419.18694,2455.553617,2612.236876,2721.238316,2789.3137,2805.756242,2849.787772,2860.912772,3082.633643,3024.4387,2984.00096,2877.771447,2890.399168,3015.402049,2906.284251,2834.431978,2386.674936,2447.960147,2433.482554,2401.71991,2443.533611,2450.674456,2385.793374,3.325
499.3438835,517.0110777,534.7276468,554.3739516,598.7439468,610.8716569,627.5610065,643.4984966,913.7043836,966.5864852,1079.065833,1086.418895,1130.093053,1137.051432,1136.82972,1150.79348,1172.20921,1209.377433,1347.152398,1381.381073,1398.933376,1418.174395,1519.984175,1537.062035,1565.482038,1646.279633,1669.105238,1775.523026,1783.613072,1866.397056,1999.43029,2021.447856,2057.126128,2080.328216,2105.739199,2133.595664,2242.354961,2261.253205,2327.692515,2338.848552,2358.733819,2364.319671,2351.7047,2318.405919,2354.006488,2397.400538,2485.44833,2676.625574,2744.751385,2767.008704,2828.687292,2846.843963,2931.377433,2944.069473,2978.937648,2882.413198,2898.688084,2979.828454,3018.592024,2950.391676,2552.899509,2617.463681,2614.22551,2598.212692,2548.553885,2493.297041,2327.454344,1.65
