b28,b57,b58,b59,b70,b72,b73,b91,b92,b103,b104,b106,b109,b112,b124,b128,b144,b146,b147,b152,b155,b157,b161,b163,TS
794.4010883,1304.552977,1331.904289,1357.536492,1576.602433,1626.322663,1651.667734,1994.864117,2014.574264,2207.729994,2212.339949,2207.169494,2150.212708,2217.809859,2569.542894,2619.298496,2704.616997,2603.56146,2462.448464,2136.442862,2228.302497,2208.441101,2051.739277,1900.401408,4.475
892.7119797,1376.1304,1398.732394,1414.623675,1633.496281,1672.088463,1687.802184,2010.697579,2041.831302,2204.685235,2215.111885,2227.524767,2205.508783,2271.964077,2611.264124,2656.78984,2791.403228,2703.372844,2593.601994,2245.592024,2383.436303,2347.877987,2378.809305,2205.579839,3.9
932.3486311,1507.601677,1548.262542,1578.05982,1839.709289,1873.797753,1887.444532,2267.333281,2300.1812,2486.478398,2488.727805,2483.401171,2451.682386,2507.049691,2942.611014,2989.769109,3087.41937,3008.475866,2864.991613,2502.067416,2715.200032,2526.133565,2556.476025,2473.190378,2.175
1281.43298,1816.041146,1839.873239,1858.252572,2059.294034,2093.677006,2116.430606,2300.029435,2317.748536,2405.305586,2405.170597,2401.372053,2352.876246,2374.850768,2583.330749,2659.87134,2613.613072,2502.272353,2329.836683,1987.786833,2014.964868,1959.566229,1831.392784,1653.725273,4.95
1282.926857,1878.40493,1905.732554,1919.886204,2175.904449,2217.433419,2234.462388,2518.454065,2552.245198,2702.458707,2716.12612,2734.670294,2681.09379,2735.323303,2990.739597,3062.319462,3137.59523,3066.482875,2953.27977,2748.288572,2782.18806,2750.740877,2719.550896,2527.574264,9.0
1652.413644,2474.37512,2500.354414,2524.055538,2727.564526,2752.854575,2759.173194,2853.400482,2882.446388,2951.894703,2941.979615,2910.033868,2821.572552,2838.817657,3016.144462,3020.967576,2901.597592,2798.015088,2604.94992,2172.855377,2375.856982,2193.729695,2151.164045,2042.310433,5.775
782.761526,1249.832468,1276.120617,1290.60276,1530.90974,1586.312987,1616.359253,1965.588799,1989.660552,2118.217045,2129.009416,2141.616071,2125.108442,2164.299675,2516.936039,2622.69724,2671.434578,2544.832143,2375.500325,2006.527435,2044.153734,2071.90763,2013.571104,1823.953409,1.9
937.7684059,1518.559059,1537.84219,1574.550576,1840.761044,1878.743598,1888.441421,2256.704225,2313.703425,2519.899008,2518.678617,2522.051697,2483.949424,2550.548175,2954.706306,3005.878841,3168.24936,3040.600032,2908.847951,2699.216869,2669.942061,2707.039373,2636.339309,2379.989117,1.675
963.2485595,1606.180858,1644.409891,1663.356274,1982.084507,2021.150608,2041.175256,2521.865557,2557.303457,2750.132362,2765.752561,2791.049296,2786.12644,2851.963348,3177.795935,3262.685019,3386.838828,3284.109955,3152.130602,2821.197023,3048.004161,2829.53185,2954.93774,2768.862836,4.125
1098.816901,1647.145487,1673.613476,1694.431018,1914.555378,1971.403489,1997.403329,2291.016485,2300.791613,2422.622439,2435.666293,2453.369878,2395.444782,2449.886204,2714.580986,2802.659411,2841.822023,2625.602753,2454.68902,2007.412292,2245.018726,2202.455026,2275.927497,2135.494718,4.225
820.3433099,1383.100672,1418.173976,1434.919334,1701.861556,1761.231434,1792.134283,2216.310179,2240.828265,2457.84267,2468.384923,2480.40685,2469.071703,2536.109475,2964.334027,3011.987996,3267.208227,3194.004962,3132.950224,3031.84299,3074.361716,3068.007843,2993.239757,2825.555378,1.65
1096.633643,1567.795935,1589.396447,1606.372439,1813.495999,1855.178457,1873.807778,2072.337548,2097.71975,2162.557458,2161.305058,2154.784251,2079.224072,2113.34283,2402.328905,2477.744718,2469.836428,2279.87596,2114.96959,1830.118118,1830.473431,1803.052017,1667.895807,1447.350352,10.2
