b41,b58,b59,b64,b91,b94,b100,b104,b105,b107,b110,b113,b121,b131,b142,b144,b149,b151,b152,TS
1084.523501,1451.523659,1472.160627,1573.516537,2108.078968,2177.615287,2268.184839,2345.270454,2353.109353,2361.648995,2310.432505,2425.645355,2669.356227,2979.916917,2936.384238,2937.205412,2629.113784,2549.262542,2339.014559,3.275
1640.859155,2162.571383,2180.010083,2330.944782,2754.991357,2839.909411,2851.598271,2862.748079,2875.551056,2847.036972,2736.553777,2854.770166,3044.704225,3263.8742,3048.914693,3032.734955,2624.692061,2481.077465,2315.828585,11.2
1224.77623,1665.316031,1665.464156,1728.833201,2213.771483,2322.199715,2349.701219,2423.93021,2445.983067,2426.333755,2348.808831,2524.153347,2671.672733,3027.160468,2941.830511,2875.566387,2457.824814,2396.714512,2094.572242,1.625
1077.015525,1464.430218,1486.616037,1605.360755,2150.268246,2234.645006,2293.802817,2367.479353,2362.182298,2383.935659,2327.589949,2418.693022,2709.96847,2941.101152,2870.34507,2862.755602,2514.825544,2354.801216,2289.252081,2.25
2133.189123,2661.041071,2688.086851,2824.381331,3099.330195,3093.385714,3132.313799,3129.277597,3118.081818,3078.756331,2966.57711,3036.896753,3176.169643,3369.320617,3169.254058,3069.710714,2544.241396,2406.391396,2319.476786,6.45
1269.46735,1730.68806,1758.074104,1879.600832,2411.483515,2489.398047,2574.535051,2610.364117,2621.450224,2607.014085,2567.070423,2658.112836,2923.918534,3093.067542,3047.261364,3075.047535,2706.987996,2647.894366,2614.326344,2.125
2493.81322,2991.462068,3004.784091,3103.244078,3319.212708,3345.426376,3350.822663,3324.06322,3339.073944,3290.604513,3223.93742,3281.840269,3356.547855,3475.649328,3263.642606,3220.934379,2728.425576,2573.525448,2446.772407,7.575
1236.740097,1694.326136,1708.833766,1830.637987,2343.514123,2443.034416,2542.388149,2581.487987,2587.668669,2588.376948,2497.354545,2609.026461,2888.819481,3126.124513,3058.259091,2998.010065,2565.830357,2464.858929,2296.581006,3.0
1055.861076,1461.018406,1476.383643,1579.212868,2130.855154,2245.275288,2289.455986,2385.943502,2397.998239,2386.884443,2369.725832,2485.453905,2721.107394,3067.113796,3050.754641,3026.90749,2772.215269,2687.110915,2446.497439,4.825
1023.298781,1396.290078,1422.141795,1569.291977,2180.045102,2308.496756,2357.953315,2414.207311,2405.842064,2431.300839,2406.976895,2482.277101,2763.098275,3001.379332,2994.369837,2993.073904,2620.804241,2539.419845,2461.030068,4.35
1117.891122,1538.752492,1570.873081,1654.745213,2241.146542,2329.120589,2388.575408,2490.191803,2483.747745,2476.70106,2420.238962,2570.336287,2775.097959,3155.713088,3109.344833,2998.757557,2618.667827,2510.088147,2233.287545,2.15
1613.761671,2082.885108,2118.273303,2238.24545,2725.697737,2791.737775,2849.932901,2873.113942,2887.188479,2854.487577,2781.590125,2842.614812,3102.736984,3295.461782,3149.24007,3144.558949,2797.003323,2680.771008,2447.335813,8.125
910.7852113,1281.707586,1300.237996,1416.706466,1976.458547,2057.233035,2131.600992,2182.53073,2201.074904,2221.887964,2189.0008,2287.524968,2521.036332,2795.288412,2783.449584,2786.065941,2473.060499,2403.395807,2273.491997,1.475
1872.754802,2443.201825,2475.53089,2585.214629,2843.986076,2863.974552,2876.669974,2934.676536,2923.634763,2863.564821,2732.713188,2845.613956,3006.618118,3156.690141,2883.026248,2866.451184,2370.871319,2221.785371,1995.971191,8.375
1056.666133,1464.71719,1470.106434,1555.150448,2174.067222,2263.557458,2318.864917,2423.088028,2466.254481,2398.321543,2380.357554,2545.021127,2722.669174,3120.098111,3095.180058,3043.764565,2705.108035,2650.746319,2351.990717,1.325
