b15,b17,b19,b22,b24,b26,b27,b35,b48,b49,b53,b55,b56,b58,b59,b60,b61,b64,b66,b68,b74,b75,b80,b81,b84,b88,b90,b91,b96,b102,b103,b107,b109,b111,b112,b116,b125,b131,b132,b137,b138,b142,b144,b146,b152,b155,b156,b158,b160,b161,b163,TS
1048.426376,1082.706946,1121.435339,1204.62644,1258.084027,1344.523207,1445.783771,1643.659571,1886.959347,1890.49968,1996.395967,2116.408131,2152.93902,2197.78185,2225.516485,2254.568022,2284.31402,2364.504321,2423.607394,2474.145647,2555.142766,2573.466549,2671.696383,2704.394686,2738.631082,2790.306178,2800.589309,2805.215589,2936.737836,2976.160371,2997.421895,2997.825384,2957.711908,2945.139245,2966.726472,3062.935659,3310.302177,3388.273367,3379.494238,3370.269526,3306.103873,3325.986236,3352.994078,3297.317382,2899.273528,2945.59379,2930.602113,2886.183739,2852.049136,2808.126921,2568.987356,3.8
697.235322,742.576357,775.3411932,831.8395316,869.0914702,919.0330749,1012.015034,1258.625099,1487.381231,1501.933217,1564.842064,1722.199399,1772.097326,1828.486153,1861.417788,1896.055389,1930.190853,2000.727489,2047.863744,2131.50087,2279.938914,2303.995094,2415.544706,2413.676215,2519.941446,2646.914543,2676.640133,2694.02532,2815.33692,2878.659123,2921.507201,2926.42665,2900.841272,2910.868017,2948.710081,3082.417788,3288.658965,3560.125495,3523.202405,3345.631113,3290.13863,3422.519702,3413.470486,3319.134357,2910.777338,3003.669726,2951.21649,2832.935275,2941.486311,2974.81975,2806.421111,8.725
1076.611556,1144.75,1210.794334,1280.168534,1341.986236,1449.065461,1561.822983,1778.769526,2060.178457,2089.862996,2161.525448,2296.180538,2348.852913,2443.201825,2475.53089,2508.74936,2538.573624,2585.214629,2640.303617,2631.484155,2740.09363,2748.942382,2809.408451,2819.449584,2826.40637,2824.1879,2835.858035,2843.986076,2899.56194,2918.168534,2943.477113,2863.564821,2768.190941,2771.276729,2809.178777,2910.49968,2985.113316,3156.690141,3095.581626,2893.626921,2860.380762,2883.026248,2866.451184,2704.133483,1995.971191,2160.766325,2069.304257,1913.173656,2097.96783,2049.4992,1850.994878,8.375
433.8919133,465.1178984,487.8096218,527.1235955,555.4620984,622.1876879,687.1087197,824.9631271,958.6489951,970.2055705,1058.438994,1166.702959,1186.555784,1225.483146,1245.580313,1265.385188,1289.181833,1377.311758,1423.425067,1459.607058,1579.280741,1587.050008,1688.193702,1710.303371,1806.918975,1859.101757,1911.692673,1941.44295,2047.801234,2085.842538,2107.128185,2100.554835,2063.322678,2126.543124,2169.581738,2294.728913,2562.327425,2721.631113,2740.469695,2655.445007,2673.976579,2741.564172,2758.983225,2617.383922,2136.044786,2259.41668,2288.524134,2294.44295,2228.512581,2181.607216,2127.809147,1.775
1668.557939,1702.060659,1727.962388,1832.042254,1940.50112,2071.806178,2168.961108,2314.609475,2582.955666,2619.518566,2715.202785,2840.130442,2893.935819,2991.462068,3004.784091,3017.524648,3028.267286,3103.244078,3096.337708,3147.384283,3275.203745,3267.244878,3354.913892,3405.623079,3342.897887,3286.701184,3308.885563,3319.212708,3274.239437,3321.390205,3296.810339,3290.604513,3238.107875,3241.247599,3261.816741,3276.72023,3390.483355,3475.649328,3470.550256,3307.971191,3265.369398,3263.642606,3220.934379,3083.240237,2446.772407,2746.402849,2690.821703,2572.87356,2532.216229,2496.59443,2400.483195,7.575
469.7019846,511.2544814,554.6887004,587.5099232,604.6073944,659.6296415,723.7504802,914.6144366,1060.270967,1076.210147,1120.419014,1248.907971,1295.651088,1365.134283,1389.394686,1410.510243,1432.716869,1502.902849,1543.21815,1599.683579,1750.150928,1776.783611,1842.430378,1871.640365,1971.755602,2091.306978,2112.252241,2120.658131,2223.191261,2322.5621,2341.639085,2362.244878,2339.664373,2354.696863,2395.597311,2529.602753,2747.023848,2978.253201,2953.254802,2824.09491,2767.37532,2894.709507,2855.057939,2739.502081,2261.975992,2317.997919,2327.420134,2331.920615,2323.028009,2292.092029,2144.479033,2.4
489.3871589,513.2126806,540.8767255,593.4107544,630.9372392,678.3861958,745.8210273,896.99374,1066.699839,1084.898395,1139.747191,1268.302729,1309.879936,1378.983788,1397.455377,1416.001124,1434.260835,1484.409149,1523.133708,1589.943178,1690.18443,1726.367576,1822.705778,1834.645907,1920.097432,2001.374799,2016.38443,2025.488925,2162.888764,2232.216051,2255.381541,2257.848315,2233.29679,2254.336437,2287.486196,2448.775923,2655.626966,2844.517657,2832.204013,2746.566292,2713.986356,2855.385875,2835.59679,2715.82825,2173.591493,2307.847994,2315.158909,2327.960032,2386.304976,2345.636437,2162.247352,1.575
1064.662932,1118.548496,1180.245198,1260.739437,1321.413092,1415.368278,1518.222951,1732.415493,1940.739117,1969.831946,2032.628681,2166.25112,2212.865077,2292.600672,2317.893246,2342.516485,2367.141005,2419.879001,2472.331466,2486.919814,2591.901889,2604.823944,2697.297535,2710.78137,2691.120519,2749.363476,2749.704866,2750.423335,2814.546575,2837.871159,2850.600992,2815.670455,2736.661172,2732.551376,2760.221671,2870.223592,3008.564981,3172.683099,3091.783611,2862.496959,2816.157971,2966.518886,2921.18598,2775.474392,2220.769366,2310.579065,2265.535691,2194.993118,2306.383643,2301.855954,2162.40765,11.8
462.1117157,509.1523688,544.6534891,576.28121,607.7327145,658.8444302,726.5945903,890.8767606,1037.559859,1049.973431,1101.056178,1237.981114,1276.353073,1331.904289,1357.536492,1381.770006,1405.916293,1470.608195,1515.643246,1538.336108,1666.978873,1680.172855,1774.909571,1793.426216,1878.081626,1942.616037,1977.78265,1994.864117,2111.322663,2184.040173,2207.729994,2186.65781,2150.212708,2175.828585,2217.809859,2367.533771,2559.272567,2683.608995,2706.493918,2645.572983,2617.617157,2682.435659,2704.616997,2603.56146,2136.442862,2228.302497,2218.293534,2200.373079,2111.78281,2051.739277,1900.401408,4.475
525.9413961,560.624026,590.2857143,635.2993506,673.3491883,746.3672078,819.4280844,987.0150974,1185.213636,1204.061688,1262.683766,1395.213149,1439.377922,1513.172565,1535.610227,1558.014773,1579.475487,1654.75,1694.614123,1736.406656,1878.535877,1910.335877,2034.776786,2056.128571,2130.295942,2222.671916,2248.627435,2261.245617,2401.434091,2497.710065,2519.665747,2511.309091,2459.796266,2491.859091,2541.989935,2698.640097,2944.788636,3119.377435,3114.119481,2991.803409,2955.1,3080.425,3050.811851,2921.799188,2357.564286,2681.340422,2642.079708,2570.839448,2646.769805,2590.338961,2383.587175,4.65
