b23,b26,b29,b30,b32,b33,b34,b37,b38,b53,b57,b58,b63,b65,b71,b76,b78,b79,b88,b92,b99,b103,b107,b111,b113,b131,b142,b143,b144,b149,b150,b152,b155,TS
1625.895395,1763.159677,1997.890647,2007.313974,2009.817218,2007.408134,2019.00902,2066.236588,2083.570185,2357.403703,2545.172496,2588.687134,2707.702643,2761.271562,2833.29435,2933.544548,2939.997784,2972.352429,3045.228675,2987.845545,2965.516854,2975.613388,2902.863111,2811.560848,2851.140845,3230.420003,3092.013451,3038.39579,2982.503402,2510.050957,2484.947935,2233.330907,2283.193543,6.05
805.3569142,911.3455506,1141.862036,1140.860275,1149.68806,1160.998239,1179.199104,1234.158451,1245.809859,1500.496639,1670.816741,1690.632522,1819.307298,1844.826344,1951.196863,2016.554738,2039.825224,2058.060819,2187.007522,2234.476793,2253.770487,2267.435819,2257.707426,2214.085467,2252.096191,2594.568662,2493.832907,2488.628521,2459.097151,1980.600672,1916.363476,1645.372919,1718.697503,4.525
733.4594081,819.2365881,1026.044469,1031.65485,1047.487261,1057.402437,1070.308593,1109.074062,1120.273144,1353.373002,1521.887957,1556.745846,1667.669251,1709.626681,1833.26175,1928.979585,1985.57699,2012.151132,2134.567337,2176.94746,2292.180567,2349.052856,2350.699636,2335.265865,2401.95474,2851.560057,2764.237221,2765.381389,2741.224561,2409.513372,2376.878145,2166.019307,2261.772749,3.475
696.013768,779.4302896,961.0234214,960.74094,975.040671,987.0307011,999.8680171,1027.607058,1030.668144,1276.730179,1433.182624,1451.523659,1556.222662,1591.15493,1716.303371,1854.964551,1889.541067,1909.896661,2073.237379,2129.261434,2259.483463,2334.491059,2361.648995,2346.514164,2425.645355,2979.916917,2936.384238,2940.510049,2937.205412,2629.113784,2587.607375,2339.014559,2568.355436,3.275
1046.93886,1181.651408,1398.590109,1417.262964,1445.888284,1458.556338,1469.90781,1534.285851,1567.200224,1902.737356,2127.823303,2162.571383,2302.384923,2359.490557,2471.356914,2555.15493,2598.704225,2614.99904,2690.927657,2801.904449,2868.065941,2847.542734,2847.036972,2776.165333,2854.770166,3263.8742,3048.914693,3044.144686,3032.734955,2624.692061,2593.979834,2315.828585,2449.24856,11.2
800.560057,862.9110619,1079.821649,1097.100649,1110.206995,1110.659915,1124.06615,1160.00269,1165.048109,1385.881152,1625.788732,1665.316031,1716.859946,1741.592974,1883.934325,1987.669568,2054.750119,2055.469536,2217.324102,2254.143377,2334.243709,2401.667985,2426.333755,2405.881785,2524.153347,3027.160468,2941.830511,2912.018516,2875.566387,2457.824814,2451.268713,2094.572242,2360.658965,1.625
689.840589,775.4739117,960.7293534,962.3903649,988.0019206,1009.888764,1019.778649,1031.162612,1042.399648,1240.59507,1437.691101,1464.430218,1575.09283,1635.932778,1760.916133,1874.372759,1917.007522,1930.630442,2114.740397,2177.054417,2302.119238,2363.982714,2383.935659,2355.111876,2418.693022,2941.101152,2870.34507,2866.167093,2862.755602,2514.825544,2457.677177,2289.252081,2408.129161,2.25
1534.139286,1631.161364,1911.585065,1928.768669,1957.525487,1970.92013,2003.543669,2084.949351,2078.965422,2392.911039,2605.212662,2661.041071,2814.297727,2828.23263,2889.987175,3017.798377,3032.166071,3034.046591,3089.014935,3098.031981,3123.598377,3136.890584,3078.756331,2981.808279,3036.896753,3369.320617,3169.254058,3144.939773,3069.710714,2544.241396,2484.272565,2319.476786,2368.489448,6.45
806.2664853,873.1038732,1093.840749,1102.901729,1122.050736,1131.713348,1144.002881,1187.507362,1204.264725,1490.354033,1691.382202,1730.68806,1846.06258,1915.464629,2021.56226,2112.884603,2177.341709,2190.698944,2336.049936,2437.079385,2575.960147,2597.691421,2607.014085,2593.324264,2658.112836,3093.067542,3047.261364,3052.972471,3075.047535,2706.987996,2676.984795,2614.326344,2638.201665,2.125
1886.713828,2071.806178,2289.928457,2262.126921,2253.37548,2270.557458,2291.877721,2373.886204,2413.819942,2715.202785,2942.87372,2991.462068,3107.473912,3093.194302,3241.31258,3259.103873,3253.994558,3297.411332,3286.701184,3334.724872,3308.940301,3296.810339,3290.604513,3241.247599,3281.840269,3475.649328,3263.642606,3242.358195,3220.934379,2728.425576,2653.692382,2446.772407,2746.402849,7.575
765.1907468,868.1553571,1083.737013,1081.921266,1105.220942,1126.091558,1142.360714,1183.12711,1195.078734,1433.28539,1655.339448,1694.326136,1808.823701,1851.185065,1945.934416,2074.670779,2115.775325,2141.915747,2341.913636,2377.821916,2539.776299,2574.527597,2588.376948,2531.428084,2609.026461,3126.124513,3058.259091,3036.261364,2998.010065,2565.830357,2513.106331,2296.581006,2484.959253,3.0
678.1856594,752.1141165,953.4553457,960.8122599,973.2021447,978.2525608,986.6714149,1014.779609,1021.208867,1229.768566,1429.048496,1461.018406,1556.925576,1600.431818,1745.306978,1837.987196,1898.671895,1923.966389,2119.179097,2168.510883,2292.427977,2369.93758,2386.884443,2406.65605,2485.453905,3067.113796,3050.754641,3051.790333,3026.90749,2772.215269,2763.255602,2446.497439,2637.387004,4.825
622.4200032,699.6227251,890.6608641,892.096376,900.9531571,909.5833201,921.6520019,970.6068998,988.7024846,1197.423326,1382.308277,1396.290078,1546.060136,1588.953632,1744.548663,1824.069157,1861.562906,1888.507517,2109.306378,2221.627947,2360.51179,2415.022788,2431.300839,2425.414781,2482.277101,3001.379332,2994.369837,3005.991613,2993.073904,2620.804241,2583.372211,2461.030068,2508.751385,4.35
722.303529,813.3600253,999.3750593,1009.970565,1027.259535,1035.210476,1038.55436,1068.222662,1085.320462,1297.487102,1503.25906,1538.752492,1632.948093,1676.721475,1836.408134,1959.955847,2016.708182,2040.989872,2263.39579,2276.95379,2371.395157,2497.391676,2476.70106,2469.393733,2570.336287,3155.713088,3109.344833,3055.080551,2998.757557,2618.667827,2598.55167,2233.287545,2457.743472,2.15
1100.085298,1213.912486,1435.379332,1449.362716,1475.664979,1489.107612,1496.686343,1536.657541,1557.745371,1843.41937,2050.354961,2082.885108,2208.099066,2268.3116,2393.359551,2505.161418,2523.977528,2550.371894,2697.059345,2752.488368,2840.067574,2859.094002,2854.487577,2801.883684,2842.614812,3295.461782,3149.24007,3147.089413,3144.558949,2797.003323,2797.749486,2447.335813,2631.371103,8.125
591.9710307,668.2983355,849.5390525,848.3353073,847.762484,849.831306,857.371799,891.8447503,903.8492318,1079.492478,1266.572663,1281.707586,1402.349232,1427.481114,1575.78201,1676.09443,1739.912132,1766.18886,1945.503361,2003.323784,2120.570262,2165.085627,2221.887964,2217.447183,2287.524968,2795.288412,2783.449584,2787.428297,2786.065941,2473.060499,2453.246639,2273.491997,2383.425896,1.475
1309.327785,1449.065461,1717.546575,1720.854033,1730.528809,1737.915173,1757.308579,1803.645647,1809.372439,2161.525448,2397.579225,2443.201825,2547.511364,2622.454706,2667.828585,2758.59331,2783.240237,2797.022087,2824.1879,2849.572343,2911.462708,2943.477113,2863.564821,2771.276729,2845.613956,3156.690141,2883.026248,2875.523367,2866.451184,2370.871319,2311.760243,1995.971191,2160.766325,8.375
648.6016325,704.9860755,901.7029449,923.3927657,939.8725992,940.2824904,955.06258,989.846831,992.740557,1205.404449,1429.590429,1464.71719,1533.40701,1577.802817,1732.911972,1849.042574,1929.512004,1934.716229,2113.464629,2203.048816,2298.760243,2381.151889,2398.321543,2434.509283,2545.021127,3120.098111,3095.180058,3070.915973,3043.764565,2705.108035,2711.71927,2351.990717,2610.565301,1.325
