variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,selected_features,elapsed_sec
MSHHO_I2,1,0.5743790632059076,1.915778994023932,1.4911645904251454,0.4266067402126438,2.3797050889577305,1.7517753881660725,4,b64;b108;b112;b118,43.10087704658508
MSHHO_I2,2,0.6163213036213957,1.818937423190757,1.4034472828015168,0.3233891588510218,2.5850343811452428,1.7944569676583504,4,b18;b27;b28;b47,40.36312699317932
MSHHO_I2,3,0.5523807559919016,1.9646640125870707,1.6135682607209696,0.33129143974840447,2.569894464526972,1.6518384404019908,1,b27,36.012962102890015
MSHHO_I2,4,0.5530914547253378,1.9631037145042005,1.4775341007802258,0.26382356149909925,2.6964216431091312,1.969479661392536,4,b15;b16;b34;b36,41.605345010757446
MSHHO_I2,5,0.5362700876085329,1.9997074778653667,1.6674733089489615,0.44534442906972427,2.3404994168742834,1.6500318569165842,3,b37;b109;b149,38.717154026031494
MSHHO_I2,6,0.5688452739719612,1.9281929509905693,1.5643438026202214,0.3940869250785801,2.4462565958871987,1.687203408451521,3,b18;b27;b58,37.753138065338135
MSHHO_I2,7,0.6457910170088293,1.7476871815456372,1.32788384187563,0.18799555872925122,2.831887848043917,1.893472542089054,6,b17;b27;b89;b99;b111;b139,45.524224042892456
MSHHO_I2,8,0.5489729466113513,1.972128510443448,1.5918446867139016,0.3474052454767872,2.538742403478295,1.6340034289435914,1,b26,32.68123173713684
MSHHO_I2,9,0.6085619007929761,1.8372381813964302,1.4081973103259549,0.3307157854026628,2.5710003668319956,1.6525277219247276,4,b14;b16;b26;b90,41.414506912231445
MSHHO_I2,10,0.7329273220559456,1.5175696971128134,1.246596248699317,0.208361543579616,2.7961488650594237,2.04555946022003,13,b18;b48;b62;b68;b80;b84;b85;b98;b99;b100;b108;b123;b126,46.663487911224365
MSHHO_I2,11,0.6778460444086843,1.666731523685024,1.3031997292162494,0.2973413523641252,2.634323131343352,1.7587763286122908,7,b17;b68;b90;b107;b111;b118;b147,46.204734086990356
MSHHO_I2,12,0.5839298052441391,1.8941624308156162,1.4386317757371332,0.2230154314981666,2.7701484572221022,2.122535462686218,4,b18;b68;b74;b126,39.116451263427734
MSHHO_I2,13,0.6524354298002475,1.731217625552358,1.3439540737369073,0.2919657022565926,2.6443808013951977,1.9365450205130839,5,b16;b62;b68;b104;b109,50.104700803756714
MSHHO_I2,14,0.6172560818971221,1.816720281472871,1.4064937787197318,0.2825917232681805,2.661828305542052,1.8670145116158636,6,b67;b84;b102;b104;b108;b145,48.19864082336426
MSHHO_I2,15,0.7174606721956613,1.5608938489771682,1.2731607121763884,0.25705587897101023,2.7087874134696213,1.9428484608281633,10,b34;b38;b41;b62;b68;b84;b106;b109;b116;b141,48.67167282104492
MSHHO_I2,16,0.5659014039195382,1.93476448173174,1.5709150402687477,0.3685731183450873,2.4972290657462493,1.7030857482203245,2,b17;b27,35.66974091529846
MSHHO_I2,17,0.5852155351612712,1.8912335191951195,1.5699745697876342,0.3508833945629556,2.5319679684276,1.7749409892120185,4,b67;b107;b109;b146,43.79228496551514
MSHHO_I2,18,0.6587932160861374,1.7153104918979256,1.3409087756173808,0.3325287651433396,2.5675157990325177,1.7807242501589646,4,b16;b67;b84;b109,44.23699593544006
MSHHO_I2,19,0.5566083258342835,1.9553643023270404,1.4961046164955056,0.38240602065952467,2.4697237285998477,1.8674027877732784,3,b18;b84;b88,39.58520793914795
MSHHO_I2,20,0.6512188234607632,1.73424493415337,1.4009345619390712,0.45123372716986854,2.3280406188505447,1.550792589311794,13,b16;b61;b73;b74;b75;b78;b108;b109;b127;b138;b142;b149;b156,47.545700788497925
MSHHO_I2,21,0.5784977174824963,1.906487142823711,1.4694139763071157,0.20663592953027277,2.799194729723797,2.2024240877303205,6,b16;b17;b66;b71;b73;b156,42.74802565574646
MSHHO_I2,22,0.6927751548481884,1.6276539721620673,1.2395981279944874,0.2493322280398329,2.7228312917773905,1.8449039304777917,10,b38;b59;b61;b68;b107;b109;b111;b119;b139;b151,48.59189510345459
MSHHO_I2,23,0.5096480023549226,2.0563066966206085,1.6321807034580167,0.5278409052389448,2.1594394313771472,1.5706127709826976,2,b41;b109,38.35928988456726
