b28,b34,b35,b48,b53,b57,b58,b59,b60,b61,b62,b63,b64,b66,b69,b70,b71,b72,b73,b75,b78,b87,b90,b91,b92,b95,b102,b103,b104,b106,b109,b111,b112,b113,b118,b132,b142,b143,b144,b148,b152,b156,b157,b161,b162,b163,TS
1433.842222,1514.692198,1528.551511,1767.126919,1899.288337,2094.188796,2128.839215,2145.395157,2161.5417,2176.712296,2211.19022,2247.06979,2265.805349,2297.075487,2354.040513,2368.871973,2383.181041,2393.834942,2405.507201,2437.071372,2487.31065,2561.685393,2580.021681,2587.311758,2608.571768,2646.112834,2687.830353,2693.94113,2700.913752,2703.160468,2620.915809,2613.889698,2650.547397,2684.487735,2788.285646,2968.921823,2886.727963,2890.28897,2858.7047,2470.073429,2226.413673,2260.504352,2218.585061,2228.087039,2133.6069,2043.30796,8.55
1341.483355,1423.917894,1433.972791,1656.778649,1744.840109,1984.946543,2010.46767,2035.042254,2059.790013,2083.46719,2099.667894,2115.238156,2125.482234,2150.705826,2222.439821,2252.330026,2276.238636,2271.675096,2264.197503,2311.06258,2331.190141,2459.90605,2447.526729,2438.366197,2474.808739,2508.984795,2543.349552,2565.423656,2549.758163,2523.899008,2449.648848,2433.767446,2458.90685,2483.511684,2580.99952,2777.264565,2630.476953,2604.193822,2564.057458,2045.738956,1660.572823,1741.661012,1672.598431,1697.477433,1564.365077,1435.895166,8.225
807.4560848,881.8409558,891.7474284,1040.454819,1093.631113,1273.181358,1297.360342,1319.465263,1342.48552,1365.393891,1379.777022,1391.788099,1416.084032,1464.586169,1511.143061,1546.947618,1582.178984,1585.471435,1589.181041,1626.873081,1671.24181,1868.683019,1922.333914,1937.880677,1959.114417,1983.858205,2099.267764,2124.193385,2127.305903,2121.70739,2096.550878,2120.326159,2158.64583,2194.590125,2338.284539,2655.530147,2642.305428,2641.238171,2631.990347,2295.021206,2132.929103,2126.467479,2087.592182,2056.05618,1994.798069,1942.321412,2.3
831.1343567,922.7365089,936.8012344,1144.806457,1211.138313,1421.950942,1453.110777,1483.720525,1513.052856,1544.198133,1559.919766,1573.403228,1601.484412,1662.996518,1739.66213,1749.003007,1760.008546,1778.942238,1797.200981,1850.055863,1937.901408,2147.448172,2188.083399,2210.718785,2245.675898,2369.729862,2449.035449,2467.939231,2483.020731,2498.149074,2461.84871,2491.349581,2528.803292,2566.436303,2731.431239,3077.538851,3062.038297,3060.76626,3070.843804,2754.081658,2672.348315,2683.368729,2678.952524,2632.573192,2580.322994,2534.09606,2.175
891.1454344,996.5570502,1002.64678,1174.831461,1225.258585,1385.205887,1411.719576,1443.900617,1476.729704,1508.158253,1525.045893,1541.335338,1564.758981,1609.543599,1666.135464,1701.413357,1731.989081,1730.805349,1728.99003,1771.451179,1841.739199,2019.865169,2046.171704,2054.736509,2093.465263,2155.112676,2224.198607,2250.163475,2241.083399,2221.804241,2201.001899,2223.53078,2252.300839,2279.932584,2463.627473,2833.216332,2799.094952,2799.786042,2790.491375,2377.54344,2092.337237,2177.376484,2158.410824,2211.002532,2142.607058,2076.62953,4.625
1285.699037,1375.853291,1389.628732,1610.67817,1692.107063,1884.958748,1922.126645,1956.984751,1992.398395,2022.9,2028.094061,2037.208186,2077.360514,2142.924719,2179.791332,2187.758748,2204.182183,2238.239807,2268.905457,2295.033708,2355.17496,2481.491011,2501.717175,2515.578812,2535.749278,2616.710754,2682.266453,2698.673034,2694.245425,2667.586356,2594.095666,2613.886838,2646.083628,2676.742857,2855.782825,3100.582504,3038.391974,3029.428892,3021.153933,2692.252809,2528.175923,2532.747352,2554.536597,2385.767897,2255.975762,2157.303852,6.45
1954.742997,2019.00902,2033.927204,2333.775439,2357.403703,2545.172496,2588.687134,2641.267131,2695.649312,2737.477924,2719.443741,2707.702643,2734.837,2770.663238,2782.403228,2808.75724,2833.29435,2858.352904,2883.910112,2923.375218,2939.997784,3036.660389,3007.470802,2991.097167,2987.845545,2916.067416,2973.428707,2975.613388,2941.89856,2896.54344,2825.202089,2811.560848,2831.671467,2851.140845,2964.825131,3165.43203,3092.013451,3038.39579,2982.503402,2535.761038,2233.330907,2241.621301,2199.865643,2109.173762,1999.407185,1905.084349,6.05
1096.259123,1179.199104,1200.509283,1402.439341,1500.496639,1670.816741,1690.632522,1712.264085,1734.115077,1755.802817,1785.991837,1819.307298,1833.65733,1857.069622,1919.975512,1936.076344,1951.196863,1975.179738,1999.845871,2012.330826,2039.825224,2181.114757,2205.890365,2218.108835,2234.476793,2257.746479,2260.975512,2267.435819,2260.74904,2240.18838,2223.15765,2214.085467,2233.263924,2252.096191,2353.358035,2565.526569,2493.832907,2488.628521,2459.097151,2042.703105,1645.372919,1680.161012,1629.640045,1602.246479,1480.995038,1372.525288,4.525
980.4734926,1070.308593,1084.337395,1278.31065,1353.373002,1521.887957,1556.745846,1578.012818,1597.60595,1617.344991,1641.98639,1667.669251,1689.056813,1727.141795,1771.981801,1802.656749,1833.26175,1847.290711,1861.338186,1907.072322,1985.57699,2123.795379,2138.69932,2142.777022,2176.94746,2240.70106,2325.211426,2349.052856,2357.998576,2360.927995,2316.62684,2335.265865,2369.354645,2401.95474,2518.680329,2807.862478,2764.237221,2765.381389,2741.224561,2438.577623,2166.019307,2225.178193,2190.559266,2222.793796,2203.683652,2189.765469,3.475
923.2054122,999.8680171,1011.568919,1164.151132,1276.730179,1433.182624,1451.523659,1472.160627,1493.208894,1514.614812,1535.415256,1556.222662,1573.516537,1615.705966,1703.708182,1708.687767,1716.303371,1746.379332,1776.985282,1829.978478,1889.541067,2063.566704,2095.084824,2108.078968,2129.261434,2207.367305,2309.889856,2334.491059,2345.270454,2358.611489,2327.58063,2346.514164,2386.451654,2425.645355,2589.015667,2935.962178,2936.384238,2940.510049,2937.205412,2667.067099,2339.014559,2489.782877,2412.223137,2490.405444,2389.989555,2291.948568,3.275
