b24,b31,b37,b58,b59,b70,b72,b85,b86,b95,b96,b108,b112,b113,b116,b122,b129,b143,TS
690.984966,947.7050166,1003.287071,1398.732394,1414.623675,1633.496281,1672.088463,1949.394524,1956.478082,2105.945245,2112.972464,2222.456718,2271.964077,2314.948726,2405.799177,2556.180725,2701.053015,2805.683336,1.4028740669951625
718.6630796,994.1378383,1075.02532,1548.262542,1578.05982,1839.709289,1873.797753,2187.569869,2216.832568,2399.61054,2420.338661,2467.890014,2507.049691,2548.792372,2651.456243,2880.246875,3022.742048,3081.194968,0.7905675700722566
1033.929103,1326.224719,1379.137838,1839.873239,1858.252572,2059.294034,2093.677006,2301.605159,2299.235322,2332.532679,2332.338028,2375.248299,2374.850768,2395.902358,2444.680013,2580.987815,2675.826555,2593.659598,1.6574561743152616
1016.756402,1336.435019,1405.059059,1905.732554,1919.886204,2175.904449,2217.433419,2447.247919,2446.994718,2587.416933,2583.038092,2705.012164,2735.323303,2775.53249,2812.004962,2962.367478,3076.53137,3126.997439,2.3078038810661927
1393.508507,1790.010273,1836.414125,2500.354414,2524.055538,2727.564526,2752.854575,2853.83756,2867.226485,2931.980899,2930.121188,2875.525843,2838.817657,2874.467897,2888.105457,2998.373676,3054.069502,2891.736437,1.8235008741383936
588.4886364,823.8060065,895.1357143,1276.120617,1290.60276,1530.90974,1586.312987,1853.000487,1877.223214,2031.514286,2041.849513,2144.973377,2164.299675,2189.257305,2282.11039,2459.346266,2664.046266,2676.562013,0.6510734359945963
727.3004161,981.7559219,1075.509283,1537.84219,1574.550576,1840.761044,1878.743598,2163.849392,2201.394846,2401.010563,2406.772087,2507.546575,2550.548175,2592.50112,2693.627721,2885.445903,3048.982554,3179.160851,0.5217562211442857
739.3273047,1031.521607,1114.371639,1644.409891,1663.356274,1982.084507,2021.150608,2399.275288,2415.695423,2651.714629,2667.753681,2792.816261,2851.963348,2890.085948,2920.59283,3125.558579,3305.213028,3400.472471,1.4625261659981488
844.0704225,1159.84235,1221.914693,1673.613476,1694.431018,1914.555378,1971.403489,2275.422375,2276.055378,2314.731754,2334.850832,2422.628521,2449.886204,2486.056818,2543.921575,2673.72007,2870.239917,2852.390525,1.488046078815127
643.7048656,884.3095391,969.0398528,1418.173976,1434.919334,1701.861556,1761.231434,2068.918054,2101.110115,2305.143406,2321.133003,2480.458387,2536.109475,2580.615717,2703.685179,2885.152209,3053.708547,3293.901569,0.5063756211519992
885.8015365,1170.897247,1215.334027,1589.396447,1606.372439,1813.495999,1855.178457,2046.03009,2049.911332,2108.548175,2111.836268,2113.425896,2113.34283,2143.331466,2225.910051,2365.808739,2506.414693,2498.544334,2.446156528624075
924.5997119,1234.372439,1320.298816,1838.497279,1866.145967,2133.606274,2197.37596,2479.382202,2498.586268,2659.011524,2675.24984,2779.779289,2832.041293,2880.072503,2992.247279,3160.341709,3278.908451,3323.706146,2.0047304476527037
1139.827979,1492.338819,1557.98006,2128.839215,2145.395157,2368.871973,2393.834942,2565.790157,2550.713879,2646.112834,2648.701219,2659.744263,2650.547397,2684.487735,2748.126602,2849.31793,2947.608324,2890.28897,2.251326780615122
1055.539853,1363.886044,1468.212868,2010.46767,2035.042254,2252.330026,2271.675096,2425.739437,2451.353873,2508.984795,2502.869558,2488.129321,2458.90685,2483.511684,2567.848111,2651.459187,2734.685339,2604.193822,2.208742427466275
613.1330907,848.1253363,919.915493,1297.360342,1319.465263,1546.947618,1585.471435,1827.871657,1843.695838,1983.858205,1988.174236,2110.128976,2158.64583,2194.590125,2309.149074,2446.362716,2600.145434,2641.238171,0.8484782941909552
