b14,b15,b27,b29,b31,b33,b34,b35,b37,b48,b49,b51,b52,b53,b56,b58,b59,b60,b61,b64,b65,b73,b75,b76,b80,b81,b82,b84,b88,b90,b91,b95,b102,b103,b110,b111,b113,b116,b120,b121,b133,b138,b145,b146,b152,b155,b158,b160,b163,TS
704.3689181,731.7080666,1071.84347,1202.447343,1234.372439,1264.829065,1286.611876,1310.462548,1320.298816,1497.772247,1520.974232,1553.856914,1558.860275,1584.34251,1780.2492,1838.497279,1866.145967,1893.795935,1923.047055,2016.507202,2041.985115,2240.358995,2272.166453,2288.28073,2356.663732,2368.931338,2401.949264,2459.567862,2529.414052,2561.324584,2578.684699,2659.011524,2778.176697,2798.367638,2738.023367,2780.721031,2880.072503,2992.247279,3108.959187,3133.56402,3351.369398,3224.237036,3259.889725,3179.911492,2744.923816,2900.826504,2698.240557,2815.34299,2690.238636,6.825
487.6106979,511.7958538,786.632062,900.3481564,912.9818009,925.4507042,940.8119956,959.8855832,986.0750119,1108.928786,1125.047634,1154.111094,1158.441051,1176.889065,1348.050483,1416.561798,1432.833043,1445.611647,1459.261276,1541.581738,1559.279949,1728.151765,1739.707074,1748.694888,1867.909005,1884.249881,1931.493274,2006.778604,2031.541541,2072.221238,2095.844279,2212.7047,2300.556892,2311.043994,2314.280582,2352.423168,2448.473651,2514.61592,2660.668777,2678.157936,2977.971673,2914.752651,2945.370787,2870.006172,2407.307327,2515.863428,2404.476658,2491.67843,2270.124387,2.175
566.8706786,591.1867798,926.3769206,1032.81274,1033.117478,1064.09235,1080.677497,1091.81354,1102.287772,1212.180218,1228.073944,1246.810339,1254.93822,1287.963988,1434.422215,1491.184379,1507.958387,1522.196863,1545.464629,1622.081146,1645.710147,1788.350192,1829.202785,1850.62484,1902.37372,1921.273207,1945.239117,1984.940301,2052.039373,2063.546895,2074.49888,2148.270967,2188.055218,2204.888444,2121.832106,2156.746799,2227.006242,2327.899968,2452.979834,2468.068662,2668.223431,2526.690621,2568.997119,2464.600672,1921.560339,1984.90653,1957.15493,1979.252081,1846.057298,5.2
527.193385,554.4427916,852.997468,961.0234214,962.0705808,987.0307011,999.8680171,1011.568919,1027.607058,1164.151132,1181.084032,1219.101915,1242.766419,1276.730179,1415.25542,1451.523659,1472.160627,1493.208894,1514.614812,1573.516537,1591.15493,1776.985282,1829.978478,1854.964551,1932.211426,1954.489634,1978.162367,2020.106662,2073.237379,2095.084824,2108.078968,2207.367305,2309.889856,2334.491059,2310.432505,2346.514164,2425.645355,2539.802342,2644.392784,2669.356227,2901.749011,2814.352746,2930.38946,2862.215699,2339.014559,2568.355436,2334.263491,2492.348473,2291.948568,3.275
483.7092532,505.9767857,780.2678571,892.3482143,913.7738636,923.2375,938.9967532,958.7594156,982.0066558,1113.026948,1125.866071,1152.611688,1162.689123,1193.943019,1366.305195,1423.273701,1443.004058,1462.438312,1483.78961,1579.077597,1592.486364,1813.151786,1820.636688,1830.969968,1924.19026,1940.226461,1976.965422,2037.037338,2095.203084,2158.234091,2190.679383,2243.563799,2326.33961,2322.943669,2320.425325,2361.643019,2445.216721,2500.414123,2665.717045,2681.871266,2974.698864,2854.598864,2916.404383,2819.192532,2231.159091,2503.607305,2423.913312,2422.908929,2257.257792,1.675
801.6600512,827.403009,1267.878681,1398.590109,1433.057298,1458.556338,1469.90781,1480.81146,1534.285851,1785.517446,1802.198143,1841.631562,1862.09491,1902.737356,2082.791133,2162.571383,2180.010083,2197.398688,2224.515685,2330.944782,2359.490557,2483.639885,2532.238796,2555.15493,2630.867958,2645.471031,2656.997759,2674.841069,2690.927657,2726.601312,2754.991357,2805.525288,2836.534731,2847.542734,2736.553777,2776.165333,2854.770166,2903.441421,3035.129001,3044.704225,3214.15573,2989.28057,2994.204545,2866.271287,2315.828585,2449.24856,2344.121639,2494.231274,2273.244878,11.2
442.2664853,473.5049616,749.0083227,858.0721831,857.3418694,869.0548976,879.4385403,891.8543534,917.0524968,1042.508483,1051.15717,1081.512964,1098.371959,1132.321383,1319.31242,1360.786012,1374.947983,1390.370519,1403.474232,1480.786972,1503.388124,1658.71847,1694.197503,1712.34395,1806.957266,1840.977753,1871.735915,1914.053137,1949.90477,1995.24952,2020.477433,2113.042093,2201.080506,2211.878521,2185.066421,2222.8113,2314.288412,2389.482875,2512.041773,2540.154609,2726.614757,2654.74984,2746.892766,2656.976152,2288.080186,2258.457106,2245.331466,2266.822343,2015.008163,2.125
423.6983766,449.1090909,714.3305195,816.6842532,823.8060065,838.2061688,851.1530844,867.9741883,895.1357143,1002.860552,1012.368182,1038.433604,1052.444318,1080.496916,1222.891721,1276.120617,1290.60276,1305.186039,1318.43961,1408.921104,1428.516721,1616.359253,1630.769156,1637.078571,1724.740422,1743.358766,1771.359091,1825.496266,1889.76737,1935.804708,1965.588799,2031.514286,2101.91737,2118.217045,2117.77711,2138.176623,2189.257305,2282.11039,2399.108442,2430.177273,2694.173377,2542.688799,2646.200812,2544.832143,2006.527435,2044.153734,2078.528896,2061.610714,1823.953409,1.9
412.7080666,443.981274,685.4591869,778.3007362,777.1085147,798.9988796,809.4452625,819.6770166,840.7323944,960.2663252,973.2978553,1000.987036,1013.081786,1041.785371,1204.118118,1251.101472,1268.783451,1284.609955,1301.756562,1381.103393,1400.598111,1582.047215,1611.552017,1626.776408,1728.915493,1763.260243,1793.553297,1845.262644,1909.948143,1954.024648,1979.940301,2062.434859,2160.003841,2172.109955,2170.419654,2209.965909,2297.148207,2388.065141,2514.24872,2547.641805,2800.020166,2699.429097,2807.464789,2706.72007,2252.646767,2316.0,2266.783451,2359.996159,2246.21895,1.7
1272.621591,1311.322565,1739.406331,1911.585065,1944.681981,1970.92013,2003.543669,2046.909091,2084.949351,2277.984578,2308.123539,2371.943994,2375.120779,2392.911039,2548.923539,2661.041071,2688.086851,2711.132468,2734.440584,2824.381331,2828.23263,3008.444156,3018.508279,3017.798377,3032.888149,3032.491558,3029.521591,3029.198539,3089.014935,3094.743669,3099.330195,3113.943669,3135.959578,3136.890584,2966.57711,2981.808279,3036.896753,3111.704708,3176.548214,3176.169643,3250.848864,3024.358766,2985.053247,2872.048701,2319.476786,2368.489448,2286.278896,2229.250325,1992.778571,6.45
511.0473752,510.5680218,780.6983035,901.7029449,939.0774648,940.2824904,955.06258,972.4580666,989.846831,1131.014085,1148.788572,1172.737836,1174.148367,1205.404449,1386.965589,1464.71719,1470.106434,1475.028649,1484.341229,1555.150448,1577.802817,1802.769526,1827.706306,1849.042574,1936.682458,1943.410531,1973.177337,2044.916453,2113.464629,2153.011844,2174.067222,2292.107554,2356.253841,2381.151889,2380.357554,2434.509283,2545.021127,2592.076024,2690.353393,2722.669174,3096.698464,2914.223111,3019.330186,2899.372119,2351.990717,2610.565301,2487.828745,2645.235595,2487.637484,1.325
