b25,b26,b28,b29,b32,b35,b57,b58,b59,b67,b71,b97,b98,b99,b105,b106,b135,b140,TS
705.2620668,741.2965659,891.1454344,931.6811204,969.8683336,1002.64678,1385.205887,1411.719576,1443.900617,1623.820383,1731.989081,2177.087514,2193.53347,2196.234689,2229.6721,2221.804241,2787.594556,2747.10777,4.625
1049.360353,1105.657785,1285.699037,1324.406742,1353.054735,1389.628732,1884.958748,1922.126645,1956.984751,2156.732745,2204.182183,2655.109149,2671.47496,2662.84077,2687.254093,2667.586356,3161.751685,3131.876886,6.45
1698.875455,1763.159677,1954.742997,1997.890647,2009.817218,2033.927204,2545.172496,2588.687134,2641.267131,2766.365881,2833.29435,2944.867701,2967.846969,2965.516854,2906.215382,2896.54344,3150.031967,2989.255737,6.05
858.4444622,911.3455506,1096.259123,1141.862036,1149.68806,1200.509283,1670.816741,1690.632522,1712.264085,1879.121959,1951.196863,2255.440461,2254.889405,2253.770487,2248.53153,2240.18838,2523.668694,2429.274488,4.525
775.8787783,819.2365881,980.4734926,1026.044469,1047.487261,1084.337395,1521.887957,1556.745846,1578.012818,1739.241652,1833.26175,2262.324102,2281.727014,2292.180567,2363.287387,2360.927995,2789.925779,2675.6232,3.475
738.4298148,779.4302896,923.2054122,961.0234214,975.040671,1011.568919,1433.182624,1451.523659,1472.160627,1650.690932,1716.303371,2239.374743,2249.316189,2259.483463,2353.109353,2358.611489,2949.979585,2887.948568,3.275
1122.119238,1181.651408,1353.935339,1398.590109,1445.888284,1480.81146,2127.823303,2162.571383,2180.010083,2392.342029,2471.356914,2856.306178,2880.144366,2868.065941,2875.551056,2863.394206,3221.068822,3043.208707,11.2
820.0340244,862.9110619,1032.78715,1079.821649,1110.206995,1140.148125,1625.788732,1665.316031,1665.464156,1810.473651,1883.934325,2327.554835,2323.877671,2334.243709,2445.983067,2442.350214,2930.350688,2850.73825,1.625
724.6627721,775.4739117,929.3708387,960.7293534,988.0019206,1021.182138,1437.691101,1464.430218,1486.616037,1681.785691,1760.916133,2291.349072,2302.663892,2302.119238,2362.182298,2363.8137,2904.650448,2856.786012,2.25
1579.238474,1631.161364,1846.415584,1911.585065,1957.525487,2046.909091,2605.212662,2661.041071,2688.086851,2865.623052,2889.987175,3124.764935,3121.945617,3123.598377,3118.081818,3100.946429,3264.064286,3087.1125,6.45
