variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
MSHHO_I1,11,0.4445709493652562,2.188508364682515,1.7915717932639492,0.329256116881953,2.5738024382737477,1.8468993892918408,1,4.573481798171997
MSHHO_I1,12,0.5236789290757007,2.0266736092074,1.593966818692699,0.37529076683479223,2.483909737365478,1.7226316391826528,6,5.546245813369751
MSHHO_I1,13,0.45172070018187527,2.174376972885121,1.7820135556589474,0.31720105409244503,2.5968284982540903,1.892642087820981,2,4.4632017612457275
MSHHO_I1,14,0.5585221093979951,1.951139831036326,1.5229253040721868,0.26606839485450784,2.692307385734996,1.7608042682497345,5,5.583439826965332
MSHHO_I1,15,0.4460846193384904,2.185524239684884,1.7957111492285585,0.3283412173024831,2.575557182814607,1.831459912670882,1,4.504045009613037
MSHHO_I1,16,0.4499767414097049,2.1778323405962867,1.7795125585291411,0.3309731293585042,2.5705060364690353,1.8715500833243472,6,5.789360046386719
MSHHO_I1,17,0.6032569019397763,1.8496459485883738,1.3889953570143119,-0.01005136568742504,3.1584105209450604,2.1066551989178657,5,5.550163984298706
MSHHO_I1,18,0.5021029103654254,2.072066594902398,1.6473622758373085,0.3706858711159281,2.493047703996857,1.7135369645924627,3,5.090024948120117
MSHHO_I1,19,0.5293880469257637,2.0144912817918894,1.6200045024194363,0.3027836945594695,2.6241014133764065,1.691623187920591,2,4.574753046035767
MSHHO_I1,20,0.508748351560877,2.05819218929472,1.6483278545182674,0.3747261070215464,2.485032057271341,1.6938890129620798,8,5.854349851608276
MSHHO_I1,21,0.4195504328269233,2.2372584715338872,1.8252216796123104,0.28873083361933094,2.650414743651442,1.916778331225469,1,4.269899845123291
MSHHO_I1,22,0.5274888756667331,2.018551964733753,1.6278439328381833,0.3483418030693045,2.5369200381141908,1.7731478605659747,6,5.778129816055298
MSHHO_I1,23,0.5083572362721076,2.0590113522159204,1.6375292223196138,0.3538081884283636,2.5262572493626094,1.650606843036419,2,4.802449941635132
MSHHO_I1,24,0.432786927095975,2.211602291586562,1.826185644978461,0.3292033962597939,2.573903587015477,1.928977024710037,2,4.358088970184326
MSHHO_I1,25,0.47033512789165777,2.1371475193209633,1.7669017305637247,0.32871004973196005,2.5748499193303536,1.855443679974737,6,6.1215128898620605
